mesh_n,phase,water_molecules_primitive,mstore_energy_Ha_supercell,mstore_energy_Ha_per_primitive,binary_sha256,input_sha256,cli_accuracy,energy_convergence_Ha,density_convergence_e,result_sha256,process_output_sha256,raw_result,qualification
2,II,12,-7340.250498723466990,-917.531312340433374,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,bb00e41511d4b1e4cec22e3de12ab94f4556cc0795c62a93f47bcf856947f88a,0.1,9.9999999999999995e-08,1.9999999999999999e-06,1585e0309ce639820ab8b153d3f6dd19f42fc9a1da7ad80a96173efef3ac6155,2828276ebf4d0a050e11f37f5ce82a2b7ba987634e900d8c6a8a9fb0c6a3c540,raw/mstore_inorganic_cli/k222/II/result.json,PASS
2,III,12,-7341.762846103735683,-917.720355762966960,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,b4fb7f7d4314640b30726af13be2ca0345cc1540c21136a11c4f3ddd5c476952,0.1,9.9999999999999995e-08,1.9999999999999999e-06,0f0a1e5e67e212364bce5dce4df0b085e241ae1f5fcc3d350f056167976c0fa1,ca0ca35b91cec751737872a2f9e57c5bfa2279fa762f8d191f0670364701479e,raw/mstore_inorganic_cli/k222/III/result.json,PASS
2,IV,16,-9787.551228228514447,-1223.443903528564306,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,8ee3eca6ffdcce22ebba5414c22666ba6bb796a17c97016cb36339ebf1f7144e,0.1,9.9999999999999995e-08,1.9999999999999999e-06,fac4327e8741119ee86ac0e7b7ea8f805661268db93dcaf33fd1acf176dcd434,11fd44ab82017bde57a87b5d4331cf0977fbf5d5b029b7c23a530134addf9d38,raw/mstore_inorganic_cli/k222/IV/result.json,PASS
2,VI,10,-6118.094544293921899,-764.761818036740237,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,d99062f4ddc7012617728ead977427ccfe556383ed12f9d9fa619662e9f1288b,0.1,9.9999999999999995e-08,1.9999999999999999e-06,73f06bc0cf30b027789b2233371261ccfa00e2cd52583d4540462b934655773f,bd1ffe9cbab33487568da822ccac732b8acb9d1aa6481e3d218b5dfbea9da405,raw/mstore_inorganic_cli/k222/VI/result.json,PASS
2,VII,12,-7346.228700255577678,-918.278587531947210,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,4de281e3ab3632f443b22f99162e80a3a327c0b8124489c015d4b68fa62d1d91,0.1,9.9999999999999995e-08,1.9999999999999999e-06,6315900ad724a8454646e2e5d7bd939e20d8f96a5f91299c9e7b2066b6d4756b,049191e481ba7c550437dfa8109547993b3f5e2c6c3ad6a2fe17714338775a42,raw/mstore_inorganic_cli/k222/VII/result.json,PASS
2,VIII,8,-4895.669023276129337,-611.958627909516167,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,665dd43c54024db79d58c834bb4aa59727e405c1139b7e575dc73054d816a3d3,0.1,9.9999999999999995e-08,1.9999999999999999e-06,431da8381a1a096a120a8785f443e130bf7a448ab544ec3ba5e1c15d30426780,c217d49f9ed386839fab6a42cb7e7b425695818aa73ee955d5b4feed5de50cfc,raw/mstore_inorganic_cli/k222/VIII/result.json,PASS
2,IX,12,-7341.567545311303547,-917.695943163912943,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,ec345cbd2b7c34ea3f8f9f891c8486e4ac07e77e63517cb17b7ea17ca27df959,0.1,9.9999999999999995e-08,1.9999999999999999e-06,02fb609bf9378960d55c2f9b5e5b5c2de4b022902aedafe644e73e0b408a712f,a4f36ea7ce09cf326ab5836851de01f8df22c7641d2d775c51f0c74513ff2054,raw/mstore_inorganic_cli/k222/IX/result.json,PASS
2,XI,8,-4895.842885700069019,-611.980360712508627,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,89ce70f57ad4a49e4dcdf3d151a2981304d866190279ec84d516d9001890f737,0.1,9.9999999999999995e-08,1.9999999999999999e-06,9e40c7d2e505f009b2fede2023f09202f61031da6e211b54885d2f444fda3e65,d899ae30870a775cb05fbc963f5711a02d2e7ed5f844cb0997e726cc0aaf2ce3,raw/mstore_inorganic_cli/k222/XI/result.json,PASS
2,XIII,28,-17128.157858443981240,-2141.019732305497655,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,082bd77882b5a9bf57f9ca50ee6a4e5049b969c8b59c6eef2c593517ed8e0d23,0.1,9.9999999999999995e-08,1.9999999999999999e-06,a3b852b7efff597bc8334e7d7873fb8f7d81ccf638728e9a0db0f6eeb2de8134,345869fe0367a8b8d3ae51e20b6e19a33b5c2bd5a1e7cd7fc73e3fdf989a66a0,raw/mstore_inorganic_cli/k222/XIII/result.json,PASS
2,XIV,12,-7344.313059511200663,-918.039132438900083,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,2e836349250b157878fd3f1683d921713e8f3757a542b6c0db439e45e39c7623,0.1,9.9999999999999995e-08,1.9999999999999999e-06,55239c2d1be59876cc4756a3653c23ddd201284ceee08401cb16d4b85ef74bdb,6bcdad038104cc366714d297ef3b13a723ddb09d23a0f5c5d31e07cb4755cdf0,raw/mstore_inorganic_cli/k222/XIV/result.json,PASS
2,XV,10,-6118.100768583846730,-764.762596072980841,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,f69c74d09a7612876d5c85043287a99221062a22e8467f5e01bb511d4ac4ce31,0.1,9.9999999999999995e-08,1.9999999999999999e-06,083decac894c4469dd80bbd847a50b964aef017c254deac1feb821ef37e3241a,2237318935a3039634386fbbec6baf5557d677ef31a26898b7c3ef70f74e93e8,raw/mstore_inorganic_cli/k222/XV/result.json,PASS
2,XVII,6,-3670.801471312778631,-458.850183914097329,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,17446bfc858d189bb9e48745c7e14b470ba2b72bc56e7db50afa2864a101b8c7,0.1,9.9999999999999995e-08,1.9999999999999999e-06,6730aa099e286ba542e96fa997d5a589f7024ccdaa6340ecf54625eede2cdf90,87325e1be1e4e04c18bbaf3422d3aa4621531f067cb0af7326bacce5225fac04,raw/mstore_inorganic_cli/k222/XVII/result.json,PASS
3,Ih,12,-24772.174455952565040,-917.487942813057998,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,390e6e2f86de77f0cb13c88f92ee287058d834466e56977c66c145bd4f14ba14,0.1,9.9999999999999995e-08,1.9999999999999999e-06,0b73af206d417114a1bd8ab1927b0f658aede0e14fdd91fa336e3086a47d1a53,b5d9dc6f1ed0f5e371ef19d851947b69fe24cfe523744f4ee76324be341ccfd2,raw/mstore_inorganic_cli/k333/Ih/result.json,PASS
3,II,12,-24772.209007920748263,-917.489222515583265,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,9c6fc3c088893d7413933ffd4ae6adeeb30bac20c9275e3ca73ccfe590039ff0,0.1,9.9999999999999995e-08,1.9999999999999999e-06,784ce0060d9cf5dcfa7f5669ad546170cf6a9c85797f6077053b6e44b5835f5d,686232d069fd45f79b8341d9baea08121f6aabc2d4c7b87cd507d4cf723232b2,raw/mstore_inorganic_cli/k333/II/result.json,PASS
3,III,12,-24772.386737649714632,-917.495805098137566,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,9bf8e1381f7d38b8042bcaee4d3c3112520b647ce612cc447efe6435e26c7732,0.1,9.9999999999999995e-08,1.9999999999999999e-06,0142e8dcc9d168ac1a9d08123e8fe71b3fec78ee6f6133d20fdc14596e5c7cbd,642c61b22bce433639b50114ac3e15ff68ac77c321e3c62d2f5d731b8d29b4e6,raw/mstore_inorganic_cli/k333/III/result.json,PASS
3,IV,16,-33029.293860518417205,-1223.307180019200587,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,1213f0675a27713d0093568cdbdc8b50e8159e4154e42b0a491d0f77e5cf96ab,0.1,9.9999999999999995e-08,1.9999999999999999e-06,02a875b1ce4838020e682dc007d41941e1d805ca9c198201a9c8d6fe109467ad,14782501f727c6773e6bb979bfe00db327047e1cd0c66d95ac3b29a0d10572e6,raw/mstore_inorganic_cli/k333/IV/result.json,PASS
3,VI,10,-20644.086699889830925,-764.595803699623389,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,77dcb209d6002de61674716b9e4084d2620dd1de648b719926306b0d47ea25f8,0.1,9.9999999999999995e-08,1.9999999999999999e-06,9a36c9ebf69adfab87535842b04ccd6f02bcd36e8e5729f5e4059a6e347a0847,8085599e1a91241f95c67035c1794b6f1864c0f0f373ce827233ca80a6bc50d0,raw/mstore_inorganic_cli/k333/VI/result.json,PASS
3,VII,12,-24781.731768295205256,-917.841917344266903,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,8e7314d0d1920535e14a86ae92013aa5f19e35f835533c4c5b5152186aa75235,0.1,9.9999999999999995e-08,1.9999999999999999e-06,f14ad261b44fcf03970644ef4d85d7c49ea702be264505ca46475f864e830c7c,b1f4f0feea1d160b61ae3c95fa68d4a0c1fe48000535cd44c3706326b689df84,raw/mstore_inorganic_cli/k333/VII/result.json,PASS
3,VIII,8,-16516.404243755045172,-611.718675694631315,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,9bd1a82532940e5f98fb6e04cc291787e0ea73d9ab34ae89de69867e9bf21398,0.1,9.9999999999999995e-08,1.9999999999999999e-06,76d2112aa0b7898a8d192a28271620619da202b69f6f0216eb47f2814bf56eef,f3422098ad845a28ffe6f8981a7a8b665d4f2eed1672748ef2ef7fa328eeabcf,raw/mstore_inorganic_cli/k333/VIII/result.json,PASS
3,IX,12,-24772.516876874447917,-917.500625069424018,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,c65ee97797664282f7e987860a895bc4d30d33af8d190c41aa96ba78b0f984e5,0.1,9.9999999999999995e-08,1.9999999999999999e-06,9d93b4c1b93403e1a86d719220529a9d39f053ed90bf259fce83ee86b308f17d,26a1b0106e9faf6a69101dc82c5cdc561ce615c1f63e6482191799086ff2eea6,raw/mstore_inorganic_cli/k333/IX/result.json,PASS
3,XI,8,-16517.347225468845863,-611.753600943290621,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,c7ebc2fbbb67b620ef93d11a03adfcb9e8f54c2604931ee36842b670d9caa4f5,0.1,9.9999999999999995e-08,1.9999999999999999e-06,81f9f34536e4f82d987b2a0e6032a33c87bc6dc7de7b0384909d35d42ee4e999,593944fe2d6f5847859d2f11a7e3deb488bde00e60547f07c95868817d66b87e,raw/mstore_inorganic_cli/k333/XI/result.json,PASS
3,XIII,28,-57801.612850758501736,-2140.800475954018566,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,37b1d93ec726b6e50c401f66bd1c4eca2ff9ae6073a351aedeb1d03d21cc9fd4,0.1,9.9999999999999995e-08,1.9999999999999999e-06,1cf9308d274edeb118aba8b3a79ba471e5f9abb3e020d5795bdf945fb822e610,4c7e6011d522d99b4e7af6ac830580758663ceadae43261f7c4046fd9124dc5f,raw/mstore_inorganic_cli/k333/XIII/result.json,PASS
3,XIV,12,-24777.330294619918277,-917.678899800737668,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,06ef5467deadd2e61959f6997effdac1b11a6d1ebe61c673d9197a79566363ab,0.1,9.9999999999999995e-08,1.9999999999999999e-06,840c2306186c3186ccf9d181cf692ce3feac8d5af846af5663623cd713d4e62e,5711936e81a854f0528de07fd00589e85ab7052ebd9bea36e8fadc3097ce3e2f,raw/mstore_inorganic_cli/k333/XIV/result.json,PASS
3,XV,10,-20644.088996855942241,-764.595888772442322,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,ddcea98e071c52b4125a28a8b2329840e386ca491346213bb671b6025a523c89,0.1,9.9999999999999995e-08,1.9999999999999999e-06,5f69dcaba3edba31ab66c8d8fdceb85e89f32c4fd6538dc77819d35186a705e6,f05423a7605041f4b509130b07c534c05a89eb9d3dec444ce37814ced0736598,raw/mstore_inorganic_cli/k333/XV/result.json,PASS
3,XVII,6,-12386.388372012648688,-458.755124889357376,8df9fcc990f15600f0b99316602d1d6adfad43f85a2b0203ae14aad44ad4b1aa,89506fdd1b60dcacf9184a9fc61f1dab567cf4fa9ac8d14e49045147acf12f02,0.1,9.9999999999999995e-08,1.9999999999999999e-06,0ce1101199a0faa3af2e0faf2797504098347d0024dcdf7c0fd13f93ea56db90,8f7e991d824536b8b089147e2196ca0746314c34a9f32845f639ce64c2f26c07,raw/mstore_inorganic_cli/k333/XVII/result.json,PASS
